index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,3088902,3091283,3089028,1700494188,3.0544,3.12791,3.14762,BinarySearch,512
DynamicPGM,3554401,3558385,3562732,1705154448,3.14625,3.16585,3.15143,BinarySearch,64
DynamicPGM,3428275,3422361,3428158,1702518268,3.08215,3.14372,3.13461,BinarySearch,128
LIPP,9443539,6045857,3980932,12656662928,1.49734,3.3807,3.46948
HybridPGMLipp,8552246,5943766,3918913,12538247120,2.2845,3.41968,3.34942,BinarySearch,512
HybridPGMLipp,3995235,3868736,3946876,12538258780,3.39639,3.40529,3.39629,BinarySearch,64
HybridPGMLipp,3992156,3904527,3936797,12538249840,3.39172,3.39586,3.3254,BinarySearch,128
HybridPGMLippAdv,7703607,5832733,3968602,12540345108,5.30732,5.23668,5.284,BinarySearch,e256-s2147483648-f134217728
