index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,2701228,2690784,2651282,1703429848,1.05234,1.04083,1.03718,LinearSearch,32
DynamicPGM,2105642,2126094,2094159,1700049908,0.853608,0.855307,0.850757,InterpolationSearch,128
DynamicPGM,2172765,2172967,2136329,1700010848,0.801738,0.81444,0.81408,InterpolationSearch,256
LIPP,8730303,6134334,4191395,11818525760,2.84888,6.30988,6.23575
HybridPGMLipp,8791611,6173573,4146937,11811063840,1.10247,1.13993,1.14974,LinearSearch,32
HybridPGMLipp,4132031,4163841,4205064,11811063840,1.18157,1.1588,1.14763,InterpolationSearch,128
HybridPGMLipp,4289357,4289584,4120044,11811063840,1.16807,1.15443,1.16259,InterpolationSearch,256
HybridPGMLippAdv,8904620,6061605,4142424,11927060512,1.37098,6.13126,5.7348,BinarySearch,e16-s2147483648-f134217728-bf
HybridPGMLippAdv,4144243,4146926,4128933,11927060512,5.99238,6.29832,6.27376,BinarySearch,e32-s2147483648-f134217728-bf
