index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,2942092,2562431,2557602,1703241188,2.56975,3.46355,3.47514,LinearSearch,32
DynamicPGM,1970637,1996043,1990524,1700049408,3.10727,3.13873,3.13294,InterpolationSearch,128
DynamicPGM,1946566,1945089,1904353,1700011168,3.11197,3.11309,3.10831,InterpolationSearch,256
LIPP,8661496,5955657,4057262,11753613200,1.85231,4.35425,4.44289
HybridPGMLipp,8706391,6380134,4165629,11686075312,3.14396,3.46071,3.40602,LinearSearch,32
HybridPGMLipp,4139128,4126811,4126626,11686067432,3.52999,3.50477,3.50364,InterpolationSearch,128
HybridPGMLipp,4084899,4138533,4125264,11686067012,3.459,3.55853,3.52914,InterpolationSearch,256
HybridPGMLippAdv,8758498,6019993,4118745,11688164380,4.84854,5.37885,5.42202,BinarySearch,e256-s2147483648-f134217728
