index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,3300669,3271863,3286635,1700923408,3.01407,3.00515,3.07225,BinarySearch,256
DynamicPGM,3398915,3410537,3408651,1703724028,3.14655,3.11244,3.09564,BinarySearch,64
DynamicPGM,3319428,3313008,3321245,1701839508,3.11292,3.07583,3.09538,BinarySearch,128
LIPP,12148824,7518970,5614932,20408967088,2.51691,2.67003,2.66599
HybridPGMLipp,11865473,7620426,5428746,20286281900,3.09347,3.2097,3.2175,BinarySearch,256
HybridPGMLipp,5457024,5469937,5452743,20286329920,3.1855,3.16726,3.15945,BinarySearch,64
HybridPGMLipp,5429850,5481835,5430560,20286298240,3.20778,3.21702,3.20337,BinarySearch,128
HybridPGMLippAdv,12560972,7481149,5448612,20288379268,2.88159,4.6537,4.68328,BinarySearch,e256-s2147483648-f134217728
