index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
DynamicPGM,3348218,3348484,3345709,1700920428,1.00873,1.01161,1.01131,BinarySearch,256
DynamicPGM,3460630,3467709,3464670,1703719788,1.04508,1.04955,1.06589,BinarySearch,64
DynamicPGM,3365909,3391320,3391656,1701834168,1.05292,1.0504,1.05795,BinarySearch,128
LIPP,12641309,7533119,5563027,20602887232,1.40106,5.00736,5.15371
HybridPGMLipp,12381832,7498286,5561953,20589188432,1.0133,1.2039,1.19055,BinarySearch,256
HybridPGMLipp,5532799,5467668,5536472,20589188432,1.20839,1.20923,1.21088,BinarySearch,64
HybridPGMLipp,5517606,5475079,5530697,20589188432,1.19124,1.18023,1.21112,BinarySearch,128
HybridPGMLippAdv,11906480,7558324,5556721,20620384496,4.97265,5.002,4.82211,BinarySearch,e16-s2147483648-f134217728-bf
HybridPGMLippAdv,5522896,5541959,5495346,20620384496,4.91236,5.0236,5.10867,BinarySearch,e32-s2147483648-f134217728-bf
